nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
10,141,0,10,0,0
12,141,0,12,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
11,142,0,11,0,0
12,142,0,12,0,0
12,143,0,12,0,0
12,144,0,12,0,0
12,145,0,12,0,0
12,146,0,12,0,0
12,147,0,12,0,0
12,148,0,12,0,0
12,149,0,12,0,0
12,150,0,12,0,0
12,151,0,12,0,0
12,152,0,12,0,0
12,153,0,12,0,0
12,154,0,12,0,0
12,155,0,12,0,0
12,156,0,12,0,0
12,156,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
12,157,0,12,0,0
13,157,0,13,0,0
12,158,0,12,0,0
12,158,0,12,0,0
13,158,0,13,0,0
13,158,0,13,0,0
13,158,0,13,0,0
13,158,0,13,0,0
13,158,0,13,0,0
14,158,0,14,0,0
14,159,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,160,0,14,0,0
14,161,0,14,0,0
14,161,0,14,0,0
14,161,0,14,0,0
14,161,0,14,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
